flux	loglam	ivar	and_mask	or_mask	wdisp	sky	model
472.54712	3.6075	0.009942805	0	0	0.9469701	6.9371085	455.40692
461.5492	3.6076	0.010298117	0	0	0.9468386	7.046918	457.71115
458.31668	3.6077	0.010421916	0	0	0.946707	6.891445	458.20355
456.30402	3.6078	0.010570372	0	0	0.9465756	5.6626554	457.25012
451.62842	3.6079	0.010691873	0	0	0.9464443	5.344654	459.678
454.14124	3.608	0.010690446	0	0	0.9463127	5.9555893	456.3063
447.33255	3.6081	0.010879727	0	0	0.9461812	5.8208437	454.1708
452.32166	3.6082	0.010691564	0	0	0.9460498	4.936705	447.881
461.082	3.6083	0.010466795	0	0	0.9459185	4.2455225	456.38266
460.87268	3.6084	0.010399584	0	0	0.94578695	4.413142	460.51114
456.57858	3.6085	0.01054887	0	0	0.9456556	5.0441446	445.00684
448.4174	3.6086	0.010762651	0	0	0.9455242	5.4011936	449.3987
467.4047	3.6087	0.010053444	0	0	0.94539243	5.371823	452.14954
468.04663	3.6088	0.010076762	0	0	0.9452611	5.3184986	448.5261
451.34763	3.6089	0.010584499	0	0	0.94512993	5.593941	451.21567
450.72693	3.609	0.010736228	0	0	0.9449986	6.220619	453.7779
444.69867	3.6091	0.010939759	0	0	0.94486725	6.718871	449.2205
444.6784	3.6092	0.01101788	0	0	0.944736	6.6571865	452.71304
440.36163	3.6093	0.01125786	0	0	0.9446047	6.2517686	444.89462
431.4019	3.6094	0.011540483	0	0	0.94447327	6.111394	438.72717
432.49655	3.6095	0.01155315	0	0	0.9443419	6.4052653	440.2435
430.24197	3.6096	0.011634174	0	0	0.9442107	6.53252	443.3848
444.53647	3.6097	0.011069779	0	0	0.94407934	6.12245	441.70706
438.40335	3.6098	0.011307884	0	0	0.9439481	5.583608	440.2339
437.0785	3.6099	0.011433608	0	0	0.9438169	5.356093	444.13544
414.88046	3.61	0.012371275	0	0	0.9436856	5.1932793	440.23462
400.15918	3.6101	0.012998742	0	0	0.9435542	5.196964	433.07748
405.88608	3.6102	0.012817819	0	0	0.9434231	5.713757	430.6152
413.07437	3.6103	0.012525075	0	0	0.9432919	6.5094514	432.72028
414.60373	3.6104	0.012434967	0	0	0.94316065	7.0331173	431.13763
413.2424	3.6105	0.012554351	0	0	0.94302934	7.2712946	430.02756
401.6788	3.6106	0.013016115	0	0	0.9428981	7.3612027	433.94797
401.0088	3.6107	0.013171426	0	0	0.942767	6.8658233	431.27563
397.99603	3.6108	0.013345031	0	0	0.9426358	6.6414547	422.24554
390.40292	3.6109	0.013730547	0	0	0.9425047	6.1902447	416.53842
391.2399	3.611	0.01380949	0	0	0.9423734	5.653093	416.0455
383.30005	3.6111	0.014261455	0	0	0.94224226	5.7711716	415.8681
376.11716	3.6112	0.014630096	0	0	0.9421112	5.8516726	413.77893
374.98425	3.6113	0.014845086	0	0	0.94198	5.604057	405.02576
366.46313	3.6114	0.0153961945	0	0	0.941849	5.5330215	395.05554
350.7118	3.6115	0.01635561	0	0	0.941718	5.8737845	387.725
344.10306	3.6116	0.017007517	0	0	0.9415868	5.513062	373.40344
339.40347	3.6117	0.017481124	0	0	0.9414556	4.7622914	363.4552
324.6491	3.6118	0.018658586	0	0	0.9413246	4.826735	347.64484
310.71957	3.6119	0.020018669	0	0	0.9411936	5.114258	332.3755
303.2038	3.612	0.020603657	0	0	0.9410625	5.164675	316.84952
296.87408	3.6121	0.021774791	0	0	0.9409314	4.963541	295.05154
270.51627	3.6122	0.024877017	0	0	0.9408004	4.5801787	270.88324
243.60541	3.6123	0.028983021	0	0	0.9406695	4.3277783	248.33575
